Truth,fileA,fileB,lang
T,postgre/_readxmlexpr.c,postgre/_readjoinexpr.c,C
T,postgre/lcons_int.c,postgre/lappend_int.c,C
F,postgre/list_append_unique_oid.c,postgre/_outbitmapheapscan.c,C
F,postgre/list_append_unique_oid.c,postgre/_outsubqueryscan.c,C
T,postgre/list_append_unique_oid.c,postgre/list_append_unique_ptr.c,C
F,postgre/list_append_unique_ptr.c,postgre/_outa_arrayexpr.c,C
F,postgre/list_intersection.c,postgre/_outlimit.c,C
T,postgre/list_union_ptr.c,postgre/list_intersection.c,C
T,postgre/pq_sendtext.c,postgre/pq_sendstring.c,C
F,python/audioop_alaw2lin.c,python/audioop_avgpp.c,C
F,python/audioop_alaw2lin.c,python/audioop_max.c,C
T,python/audioop_alaw2lin.c,python/audioop_reverse.c,C
T,python/audioop_avg.c,python/audioop_getsample.c,C
T,python/audioop_avg.c,python/audioop_max.c,C
T,python/audioop_avg.c,python/audioop_minmax.c,C
F,python/audioop_avg.c,python/audioop_mul.c,C
F,python/audioop_avgpp.c,python/audioop_max.c,C
F,python/audioop_avgpp.c,python/audioop_reverse.c,C
T,python/audioop_bias.c,python/audioop_ulaw2lin.c,C
F,python/audioop_getsample.c,python/audioop_lin2lin.c,C
T,python/audioop_getsample.c,python/audioop_minmax.c,C
T,python/audioop_lin2alaw.c,python/audioop_reverse.c,C
T,python/audioop_lin2alaw.c,python/audioop_reverse.c,C
T,python/audioop_lin2ulaw.c,python/audioop_lin2lin.c,C
T,python/audioop_lin2ulaw.c,python/audioop_minmax.c,C
T,python/audioop_maxpp.c,python/audioop_avgpp.c,C
T,python/audioop_maxpp.c,python/audioop_max.c,C
F,python/audioop_maxpp.c,python/audioop_reverse.c,C
F,python/audioop_maxpp.c,python/audioop_rms.c,C
T,python/audioop_mul.c,python/audioop_reverse.c,C
F,python/audioop_rms.c,python/audioop_avgpp.c,C
T,python/audioop_rms.c,python/audioop_max.c,C
F,python/audioop_rms.c,python/audioop_reverse.c,C
T,python/audioop_tomono.c,python/audioop_mul.c,C
T,python/audioop_ulaw2lin.c,python/audioop_lin2lin.c,C
F,python/audioop_ulaw2lin.c,python/audioop_minmax.c,C
